family,study_type,year,journal,title,doi,gas_pair_or_target,priority
COF,review,2025,Chemical Communications,Covalent organic framework membranes for CO2 separation: recent advances and challenges,10.1039/D5CC03551A,CO2 separation,medium
COF,review,2025,Journal of Environmental Chemical Engineering,Recent progress of porous covalent organic frameworks membranes for gas- and liquid-phase separation towards environmental chemical engineering applications,10.1016/j.jece.2025.115487,general,medium
COF,review,2025,Coordination Chemistry Reviews,Macrocycle-based metal-organic and covalent organic framework membranes,10.1016/j.ccr.2025.216559,general,low
COF,review,2025,ACS Nano,"Toward Continuous, Oriented Covalent Organic Framework Membranes for Precise Molecular Separations",10.1021/acsnano.5c09252,molecular separations,medium
porous_framework_MMM,experimental,2026,Nature Communications,Mixed-matrix membranes with molecular recognition windows for selective helium extraction from natural gas,10.1038/s41467-026-69768-4,"He/CH4; He/N2",high
MXene,experimental,2024,Chemical Communications,A vertically-stacked MXene/rGO composite membrane for highly efficient H2/CO2 separation,10.1039/D4CC00481G,H2/CO2,high
MXene,experimental,2025,Journal of Membrane Science,Deep eutectic solvent- and nanocellulose-tuned MXene membranes for efficient gas separation,10.1016/j.memsci.2025.124090,gas separation,high
MXene,experimental,2025,International Journal of Hydrogen Energy,Effect of spin-coated and blade-casted MXene-polydimethylsiloxane asymmetric thin film composite membranes towards effective H2 and CO2 separation performance involving quaternary gas mixture,10.1016/j.ijhydene.2025.151095,H2/CO2/N2/CH4,high
MXene,experimental,2025,Separation and Purification Technology,Exploring divergent gas separation behavior in MXene-PDMS asymmetric composite and symmetric dense membranes with a quaternary gas mixture (H2/CO2/N2/CH4): Effect of MXene alignment,10.1016/j.seppur.2025.134170,H2/CO2/N2/CH4,high
MXene_MOF,experimental,2025,Separation and Purification Technology,Heterostructure ZIF-8@MXene with sieving effect in mixed matrix membranes for CO2 separation,10.1016/j.seppur.2024.129779,CO2/N2,high
MXene,review,2026,Chemical Record,Interfacial Dynamics in MXene Structures: Functional Pathways Toward Next-Generation Mixed Matrix Membranes for CO2 Separation,10.1002/tcr.202500343,CO2 separation,medium
MXene,review,2025,npj 2D Materials and Applications,Recent advances in retention and permeation of CO2 gas using MXene based membranes,10.1038/s41699-025-00534-8,CO2 separation,medium
graphdiyne,experimental,2024,Angewandte Chemie International Edition,Precise Preparation of Triarylboron-Based Graphdiyne Analogues for Gas Separation,10.1002/anie.202317294,"CO2/N2; CO2/CH4; CO2/H2",high
graphdiyne,simulation,2024,Physical Chemistry Chemical Physics,Separation of CO2/CH4 gas mixtures using nanoporous graphdiyne and boron-graphdiyne membranes: influence of the pore size,10.1039/D4CP00872C,CO2/CH4,medium
graphdiyne,simulation,2024,Computational and Theoretical Chemistry,Theoretical study of NO/CO/O2 gas separation using graphdiyne and boron-doped graphdiyne membranes - A new corresponding state principle,10.1016/j.comptc.2024.114534,NO/CO/O2,low
graphdiyne,simulation,2023,Journal of Membrane Science,"Molecular design of two-dimensional graphdiyne membrane for selective transport of CO2 and H2 over CH4, N2, and CO",10.1016/j.memsci.2023.121557,"CO2/CH4; H2/CH4",medium
g-C3N4,experimental,2026,FlatChem,Functionalized graphitic carbon nitride nanosheets as next-generation fillers for fabrication of CO2 separation mixed matrix membranes,10.1016/j.flatc.2026.101051,CO2 separation,medium
MoS2,experimental,2024,Journal of Membrane Science,Scalable assembly of functionalized molybdenum disulfide membrane for hydrogen-selective permeation via continuous slot-die coating,10.1016/j.memsci.2024.123511,H2/CO2,high
2D_zeolite_MOF,experimental,2024,Angewandte Chemie International Edition,Effective C4 Separation by Zeolite Metal-Organic Framework Composite Membranes,10.1002/anie.202401118,C4 hydrocarbons,medium
